sample;fastq_1;fastq_2;strandedness
1_NHA1_tibolona_rep1;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063122_SRR13673681_1.fastq.gz;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063122_SRR13673681_2.fastq.gz;unstranded
2_NHA1_tibolona_rep2;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063123_SRR13673682_1.fastq.gz;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063123_SRR13673682_2.fastq.gz;unstranded
3_NHA1_DMEM_rep1;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063124_SRR13673683_1.fastq.gz;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063124_SRR13673683_2.fastq.gz;unstranded
4_NHA1_DMEM_rep2;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063125_SRR13673684_1.fastq.gz;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063125_SRR13673684_2.fastq.gz;unstranded
5_NHA1_TibPal_rep1;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063126_SRR13673685_1.fastq.gz;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063126_SRR13673685_2.fastq.gz;unstranded
6_NHA1_TibPal_rep2;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063127_SRR13673686_1.fastq.gz;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063127_SRR13673686_2.fastq.gz;unstranded
7_NHA1_palmitato_rep1;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063128_SRR13673687_1.fastq.gz;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063128_SRR13673687_2.fastq.gz;unstranded
8_NHA1_palmitato_rep2;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063129_SRR13673688_1.fastq.gz;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063129_SRR13673688_2.fastq.gz;unstranded
9_NHA1_vehiculo_rep1;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063130_SRR13673689_1.fastq.gz;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063130_SRR13673689_2.fastq.gz;unstranded
10_NHA1_vehiculo_rep2;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063131_SRR13673690_1.fastq.gz;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063131_SRR13673690_2.fastq.gz;unstranded
11_NHA2_tibolona_rep1;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063132_SRR13673691_1.fastq.gz;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063132_SRR13673691_2.fastq.gz;unstranded
12_NHA2_tibolona_rep2;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063133_SRR13673692_1.fastq.gz;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063133_SRR13673692_2.fastq.gz;unstranded
13_NHA2_DMEM_rep1;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063134_SRR13673693_1.fastq.gz;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063134_SRR13673693_2.fastq.gz;unstranded
14_NHA2_DMEM_rep2;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063135_SRR13673694_1.fastq.gz;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063135_SRR13673694_2.fastq.gz;unstranded
15_NHA2_TibPal_rep1;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063136_SRR13673695_1.fastq.gz;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063136_SRR13673695_2.fastq.gz;unstranded
16_NHA2_TibPal_rep2;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063137_SRR13673696_1.fastq.gz;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063137_SRR13673696_2.fastq.gz;unstranded
17_NHA2_palmitato_rep1;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063138_SRR13673697_1.fastq.gz;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063138_SRR13673697_2.fastq.gz;unstranded
18_NHA2_palmitato_rep2;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063139_SRR13673698_1.fastq.gz;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063139_SRR13673698_2.fastq.gz;unstranded
19_NHA2_vehiculo_rep1;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063140_SRR13673699_1.fastq.gz;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063140_SRR13673699_2.fastq.gz;unstranded
20_NHA2_vehiculo_rep2;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063141_SRR13673700_1.fastq.gz;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063141_SRR13673700_2.fastq.gz;unstranded
21_NHA3_tibolona_rep1;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063142_SRR13673701_1.fastq.gz;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063142_SRR13673701_2.fastq.gz;unstranded
22_NHA3_tibolona_rep2;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063143_SRR13673702_1.fastq.gz;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063143_SRR13673702_2.fastq.gz;unstranded
23_NHA3_DMEM_rep1;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063144_SRR13673703_1.fastq.gz;/home/analysis/Astrocyte/SRA_Astrocyte/results/fastq/SRX10063144_SRR13673703_2.fastq.gz;unstranded
